,CITY,RANK,STATE,POPULATION,SEXRATIO,LITERACY
0,Mumbai,1,Maharashtra,12442373.0,853.0,89.73
1,Bangalore,3,Karnataka,8443675.0,923.0,88.71
2,Ahmedabad,5,Gujarat,5577940.0,898.0,88.29
3,Kolkata,7,West Bengal,4496694.0,908.0,86.31
4,Pune,9,Maharashtra,3124458.0,948.0,89.56
5,Lucknow,11,Uttar Pradesh,2817105.0,928.0,82.5
6,Nagpur,13,Maharashtra,2405665.0,963.0,91.92
7,Thane,15,Maharashtra,1841488.0,888.0,89.41
8,Visakhapatnam,17,Andhra Pradesh,1728128.0,978.0,81.79
9,Patna,19,Bihar,1684222.0,885.0,83.37
10,Ghaziabad,21,Uttar Pradesh,1648643.0,885.0,84.78
11,Agra,23,Uttar Pradesh,1585704.0,875.0,73.11
12,Faridabad,25,Haryana,1414050.0,874.0,83.83
13,Rajkot,27,Gujarat,1286678.0,908.0,87.8
14,Vasai Virar,29,Maharashtra,1222390.0,886.0,88.57
15,Srinagar,31,Jammu and Kashmir,1180570.0,908.0,69.15
16,Dhanbad,33,Jharkhand,1162472.0,891.0,79.47
17,Navi Mumbai,35,Maharashtra,1120547.0,837.0,89.62
18,Haora,37,West Bengal,1077075.0,919.0,88.71
19,Gwalior,39,Madhya Pradesh,1069276.0,879.0,84.14
20,Coimbatore,41,Tamil Nadu,1050721.0,997.0,91.3
21,Jodhpur,43,Rajasthan,1033756.0,903.0,80.81
22,Raipur,45,Chhattisgarh,1010433.0,948.0,85.95
23,Chandigarh,47,Chandigarh,961587.0,829.0,86.42
24,Solapur,49,Maharashtra,951558.0,978.0,82.8
25,Bareilly,51,Uttar Pradesh,903668.0,895.0,68.25
26,Moradabad,53,Uttar Pradesh,887871.0,911.0,68.75
27,Aligarh,55,Uttar Pradesh,874408.0,894.0,68.52
28,Tiruchirappalli,57,Tamil Nadu,847387.0,1025.0,91.38
29,Salem,59,Tamil Nadu,829267.0,987.0,84.42
30,Thiruvananthapuram,61,Kerala,743691.0,1054.0,95.1
31,Saharanpur,63,Uttar Pradesh,705478.0,898.0,76.32
32,Guntur,65,Andhra Pradesh,647508.0,1019.0,80.4
33,Bikaner,67,Rajasthan,644406.0,904.0,79.29
34,Jamshedpur,69,Jharkhand,631364.0,920.0,86.91
35,Warangal,71,Andhra Pradesh,615998.0,997.0,83.3
36,Firozabad,73,Uttar Pradesh,604214.0,892.0,66.32
37,Bhavnagar,75,Gujarat,593368.0,921.0,84.7
38,Durgapur,77,West Bengal,566517.0,925.0,86.02
39,Nanded Waghala,79,Maharashtra,550439.0,928.0,85.93
40,Ajmer,81,Rajasthan,542321.0,947.0,86.52
41,Loni,83,Uttar Pradesh,516082.0,876.0,72.14
42,Siliguri,85,West Bengal,513264.0,946.0,85.91
43,Jhansi,87,Uttar Pradesh,505693.0,905.0,83.02
44,Jammu,89,Jammu and Kashmir,502197.0,908.0,90.14
